No. of Pixels,Height,Width,Optimization Success,Result,Execution Time,Layers,Min-Cut Cost,Optimization Cost,Iterations,Optimizer Method,Seed,Exact Min-Cut Value,Relative Error
4,2,2,True,0000,1.292103,1,0.0,-0.0049,37,COBYLA,111,-1.13,1.0
4,2,2,True,1011,2.763737,2,-1.13,-3.3977,78,COBYLA,111,-1.13,0.0
4,2,2,True,1011,3.813881,3,-1.13,-3.682,107,COBYLA,111,-1.13,0.0
4,2,2,True,1011,4.5433,4,-1.13,-3.8605,125,COBYLA,111,-1.13,0.0
4,2,2,True,1110,6.885014,5,-0.6,-2.2995,184,COBYLA,111,-1.13,0.4690265486725663
4,2,2,True,0000,2.063906,1,0.0,-0.0068,60,Powell,111,-1.13,1.0
4,2,2,True,1011,10.247895,2,-1.13,-3.866,293,Powell,111,-1.13,0.0
4,2,2,True,1011,35.274796,3,-1.13,-3.8895,987,Powell,111,-1.13,0.0
4,2,2,True,1011,32.740998,4,-1.13,-3.8878,873,Powell,111,-1.13,0.0
4,2,2,True,1011,38.520907,5,-1.13,-3.8892,997,Powell,111,-1.13,0.0
4,2,2,False,0000,2.297111,1,0.0,-0.0072,64,CG,111,-1.13,1.0
4,2,2,False,0111,9.745514,2,0.85,1.6152,265,CG,111,-1.13,1.752212389380531
4,2,2,False,1011,10.415661,3,-1.13,-0.9536,283,CG,111,-1.13,0.0
4,2,2,False,1100,12.256526,4,0.02,-0.7614,323,CG,111,-1.13,1.0176991150442478
4,2,2,False,1000,15.141392,5,0.85,-0.0186,406,CG,111,-1.13,1.752212389380531
4,2,2,False,0000,2.788418,1,0.0,-0.0059,76,BFGS,111,-1.13,1.0
4,2,2,False,0111,5.473654,2,0.85,1.6004,145,BFGS,111,-1.13,1.752212389380531
4,2,2,False,1011,8.304596,3,-1.13,-0.9576,221,BFGS,111,-1.13,0.0
4,2,2,False,1100,12.127536,4,0.02,-0.7665,324,BFGS,111,-1.13,1.0176991150442478
4,2,2,False,1000,14.429344,5,0.85,-0.033,380,BFGS,111,-1.13,1.752212389380531
4,2,2,True,0000,2.344865,1,0.0,-0.0016,68,L-BFGS-B,111,-1.13,1.0
4,2,2,True,0111,7.060834,2,0.85,1.6722,196,L-BFGS-B,111,-1.13,1.752212389380531
4,2,2,True,1011,6.554508,3,-1.13,-0.9365,180,L-BFGS-B,111,-1.13,0.0
4,2,2,True,1100,10.636352,4,0.02,-0.7368,286,L-BFGS-B,111,-1.13,1.0176991150442478
4,2,2,True,1000,15.212628,5,0.85,0.0095,416,L-BFGS-B,111,-1.13,1.752212389380531
4,2,2,True,1111,7.25683,1,0.0,-0.4892,210,SLSQP,111,-1.13,1.0
4,2,2,True,1110,18.911328,2,-0.6,-0.9178,511,SLSQP,111,-1.13,0.4690265486725663
4,2,2,True,0000,22.991675,3,0.0,0.2448,641,SLSQP,111,-1.13,1.0
4,2,2,True,0000,50.016275,4,0.0,0.1653,1381,SLSQP,111,-1.13,1.0
4,2,2,True,1001,65.897478,5,0.25,0.5167,1769,SLSQP,111,-1.13,1.2212389380530975
16,4,4,False,0000000000000000,1.387467,1,0.0,0.0,31,COBYLA,111,-1.54,1.0
16,4,4,True,1111111111111111,5.122403,2,0.0,-18.4769,113,COBYLA,111,-1.54,1.0
16,4,4,True,1110110011111111,8.512183,3,1.63,-16.0758,183,COBYLA,111,-1.54,2.0584415584415585
16,4,4,True,1111110111111111,10.099397,4,0.6,-17.7864,220,COBYLA,111,-1.54,1.3896103896103897
16,4,4,True,1111111111011111,12.351888,5,-1.54,-21.6625,262,COBYLA,111,-1.54,0.0
16,4,4,False,0000000000000000,0.718104,1,0.0,0.0,16,Powell,111,-1.54,1.0
16,4,4,True,1111111111111111,21.371581,2,0.0,-23.76,452,Powell,111,-1.54,1.0
16,4,4,True,1111111111111111,80.272109,3,0.0,-23.7525,1741,Powell,111,-1.54,1.0
16,4,4,True,1111111111011111,66.404778,4,-1.54,-24.0333,1398,Powell,111,-1.54,0.0
16,4,4,True,1111111111011111,44.363818,5,-1.54,-14.4696,929,Powell,111,-1.54,0.0
16,4,4,False,0000000000000000,0.272807,1,0.0,0.0,6,CG,111,-1.54,1.0
16,4,4,False,1111111100000000,5.518157,2,1.67,-4.0405,121,CG,111,-1.54,2.0844155844155843
16,4,4,False,1111000010100000,14.467417,3,3.65,1.4828,314,CG,111,-1.54,3.37012987012987
16,4,4,False,0100101110111000,20.837343,4,7.01,0.1987,453,CG,111,-1.54,5.551948051948052
16,4,4,False,1110011110111000,17.843937,5,6.17,0.5558,376,CG,111,-1.54,5.0064935064935066
16,4,4,False,0000000000000000,0.276621,1,0.0,0.0,6,BFGS,111,-1.54,1.0
16,4,4,False,1111111100000000,4.599864,2,1.67,-4.2454,100,BFGS,111,-1.54,2.0844155844155843
16,4,4,False,1111000010100000,12.546101,3,3.65,1.2565,268,BFGS,111,-1.54,3.37012987012987
16,4,4,False,0100101110111100,17.378323,4,8.72,0.0159,369,BFGS,111,-1.54,6.662337662337663
16,4,4,False,1110011110111010,21.424669,5,7.25,0.3198,454,BFGS,111,-1.54,5.707792207792207
16,4,4,False,0000000000000000,0.275593,1,0.0,0.0,6,L-BFGS-B,111,-1.54,1.0
16,4,4,False,1111111100000000,10.41162,2,1.67,100000.0,231,L-BFGS-B,111,-1.54,2.0844155844155843
16,4,4,True,1111000010100000,18.384666,3,3.65,1.5797,384,L-BFGS-B,111,-1.54,3.37012987012987
16,4,4,True,0100101110111000,25.016412,4,7.01,0.516,525,L-BFGS-B,111,-1.54,5.551948051948052
16,4,4,True,1110001110111010,31.261115,5,7.43,0.6593,650,L-BFGS-B,111,-1.54,5.824675324675324
16,4,4,False,0000000000000000,0.27223,1,0.0,0.0,6,SLSQP,111,-1.54,1.0
16,4,4,True,1011111111111000,13.168161,2,3.72,-8.4293,292,SLSQP,111,-1.54,3.4155844155844153
16,4,4,True,1000101011011111,15.77826,3,2.93,-8.5164,346,SLSQP,111,-1.54,2.902597402597403
16,4,4,True,0000010011101100,15.504839,4,3.63,-3.5208,335,SLSQP,111,-1.54,3.357142857142857
16,4,4,True,0110011010001110,20.915529,5,5.28,-5.1897,448,SLSQP,111,-1.54,4.428571428571429
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,4.407342,1,0.0,0.0,43,COBYLA,111,-12.73,1.0
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,8.634832,2,0.0,0.0,85,COBYLA,111,-12.73,1.0
64,8,8,True,1111111111111111111111111111111111111111111111111111111111111111,23.076884,3,0.0,-79.5349,222,COBYLA,111,-12.73,1.0
64,8,8,True,1111111111111101111100001111000111100000000000100001111111111111,33.076612,4,3.51,100000.0,320,COBYLA,111,-12.73,1.2757266300078556
64,8,8,True,1001111100000111111111111111111111011111111010010000100011110000,35.083306,5,0.04,-36.78,339,COBYLA,111,-12.73,1.0031421838177532
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.581258,1,0.0,0.0,22,Powell,111,-12.73,1.0
64,8,8,True,1111111111111111111111111111110101111111111110110000100011010111,5.54255,2,11.78,100000.0,50,Powell,111,-12.73,1.925373134328358
64,8,8,True,1111111111111111111111111111111111111111111111111111111111111111,143.63724,3,0.0,-80.8195,1277,Powell,111,-12.73,1.0
64,8,8,True,1111111111111111111111111111101111111111111111111111111111111111,159.159766,4,-0.34,-74.1254,1442,Powell,111,-12.73,0.9732914375490966
64,8,8,True,1111111111011111111111111111111111001111111111111100111111111111,401.032728,5,-1.37,-70.4103,3608,Powell,111,-12.73,0.8923802042419481
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.800906,1,0.0,0.0,8,CG,111,-12.73,1.0
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.573245,2,0.0,0.0,15,CG,111,-12.73,1.0
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.294801,3,0.0,0.0,22,CG,111,-12.73,1.0
64,8,8,False,0000010111101101011100001000000000000001000000000000000000010000,96.599912,4,12.0,9.302,939,CG,111,-12.73,1.9426551453260015
64,8,8,False,0010001000000010001011000010100011111110011111110111111101101010,103.237074,5,19.27,-5.2137,982,CG,111,-12.73,2.5137470542026707
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.841445,1,0.0,0.0,8,BFGS,111,-12.73,1.0
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.585024,2,0.0,0.0,15,BFGS,111,-12.73,1.0
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.298661,3,0.0,0.0,22,BFGS,111,-12.73,1.0
64,8,8,False,0000010111101101011100001000000000000001000000000000000000010000,34.162911,4,12.0,10.2252,331,BFGS,111,-12.73,1.9426551453260015
64,8,8,False,0010001000000010001011000010100011111110011111110111111101101010,119.58956,5,19.27,-5.9892,1132,BFGS,111,-12.73,2.5137470542026707
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.444409,1,0.0,0.0,8,L-BFGS-B,111,-12.73,1.0
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.842852,2,0.0,0.0,15,L-BFGS-B,111,-12.73,1.0
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.239588,3,0.0,0.0,22,L-BFGS-B,111,-12.73,1.0
64,8,8,False,0110010110101101011100001100000000000001000000000000000000010000,34.626863,4,14.23,9.0335,609,L-BFGS-B,111,-12.73,2.11783189316575
64,8,8,False,0010001000000010001011000010100011111100011111110111111101101010,43.894794,5,19.84,-2.8862,756,L-BFGS-B,111,-12.73,2.5585231736056557
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.440726,1,0.0,0.0,8,SLSQP,111,-12.73,1.0
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.834827,2,0.0,0.0,15,SLSQP,111,-12.73,1.0
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.237911,3,0.0,0.0,22,SLSQP,111,-12.73,1.0
64,8,8,True,1000101010111111011110011111101111101111000110100001000011100110,125.50276,4,15.37,-17.3556,2198,SLSQP,111,-12.73,2.2073841319717205
64,8,8,True,1111011101010001110110000000010011111110000010001010101000000110,153.359882,5,16.88,0.5839,2621,SLSQP,111,-12.73,2.3260015710919086
4,2,2,True,0000,2.483011,1,0.0,0.0025,36,COBYLA,222,-0.62,1.0
4,2,2,True,0111,4.035867,2,-0.51,-3.1422,63,COBYLA,222,-0.62,0.17741935483870966
4,2,2,True,1101,8.81551,3,-0.62,-3.5232,135,COBYLA,222,-0.62,0.0
4,2,2,True,1101,11.49413,4,-0.62,-3.5291,144,COBYLA,222,-0.62,0.0
4,2,2,True,1101,11.460469,5,-0.62,-3.5379,174,COBYLA,222,-0.62,0.0
4,2,2,True,1111,7.016882,1,0.0,-1.68,111,Powell,222,-0.62,1.0
4,2,2,True,0111,57.983496,2,-0.51,-3.2055,893,Powell,222,-0.62,0.17741935483870966
4,2,2,True,0111,52.932467,3,-0.51,-3.21,806,Powell,222,-0.62,0.17741935483870966
4,2,2,True,0111,101.14858,4,-0.51,-3.21,1277,Powell,222,-0.62,0.17741935483870966
4,2,2,True,0111,75.212187,5,-0.51,-3.21,1102,Powell,222,-0.62,0.17741935483870966
4,2,2,False,0000,5.057492,1,0.0,0.0099,79,CG,222,-0.62,1.0
4,2,2,False,0111,11.787081,2,-0.51,-2.3974,173,CG,222,-0.62,0.17741935483870966
4,2,2,False,1011,17.245893,3,1.46,0.8664,253,CG,222,-0.62,3.3548387096774195
4,2,2,False,1100,32.847114,4,0.07,0.7296,483,CG,222,-0.62,1.1129032258064515
4,2,2,False,1000,28.320022,5,-0.51,0.4468,412,CG,222,-0.62,0.17741935483870966
4,2,2,False,0000,6.18123,1,0.0,0.0062,95,BFGS,222,-0.62,1.0
4,2,2,False,0111,11.169051,2,-0.51,-2.407,166,BFGS,222,-0.62,0.17741935483870966
4,2,2,False,1011,18.349336,3,1.46,0.8659,272,BFGS,222,-0.62,3.3548387096774195
4,2,2,False,1100,26.486627,4,0.07,0.7276,388,BFGS,222,-0.62,1.1129032258064515
4,2,2,False,1000,27.8637,5,-0.51,0.4531,411,BFGS,222,-0.62,0.17741935483870966
4,2,2,True,0000,5.848772,1,0.0,0.0173,92,L-BFGS-B,222,-0.62,1.0
4,2,2,True,0111,14.483529,2,-0.51,-2.3903,217,L-BFGS-B,222,-0.62,0.17741935483870966
4,2,2,True,1011,19.534149,3,1.46,0.8943,290,L-BFGS-B,222,-0.62,3.3548387096774195
4,2,2,True,1100,26.500419,4,0.07,0.743,390,L-BFGS-B,222,-0.62,1.1129032258064515
4,2,2,False,1000,22.983263,5,-0.51,0.4544,336,L-BFGS-B,222,-0.62,0.17741935483870966
4,2,2,True,0000,10.369399,1,0.0,0.1395,155,SLSQP,222,-0.62,1.0
4,2,2,True,0000,129.080091,2,0.0,0.1094,476,SLSQP,222,-0.62,1.0
4,2,2,True,1010,41.181269,3,0.77,2.6161,621,SLSQP,222,-0.62,2.241935483870968
4,2,2,True,1110,102.168768,4,1.35,0.944,1519,SLSQP,222,-0.62,3.17741935483871
4,2,2,True,0111,129.150147,5,-0.51,-1.4993,1899,SLSQP,222,-0.62,0.17741935483870966
16,4,4,True,1111111111111111,4.35031,1,0.0,100000.0,51,COBYLA,222,-3.97,1.0
16,4,4,True,1111111111110110,8.246803,2,-1.97,-13.5613,96,COBYLA,222,-3.97,0.5037783375314862
16,4,4,True,1111001000010010,10.384666,3,1.49,-6.4543,121,COBYLA,222,-3.97,1.3753148614609572
16,4,4,True,0011111101110000,19.082754,4,-0.23,-8.5829,225,COBYLA,222,-3.97,0.9420654911838791
16,4,4,True,1111111101111010,22.203683,5,-2.04,-15.2628,257,COBYLA,222,-3.97,0.48614609571788414
16,4,4,True,1111111111111111,14.45445,1,0.0,-10.08,170,Powell,222,-3.97,1.0
16,4,4,True,1111111111111111,189.126602,2,0.0,-10.1089,2238,Powell,222,-3.97,1.0
16,4,4,True,1111011111111111,131.484401,3,0.12,-12.6486,1552,Powell,222,-3.97,1.030226700251889
16,4,4,True,1111001000101001,95.563192,4,-2.23,-10.6518,1120,Powell,222,-3.97,0.43828715365239296
16,4,4,True,1111001100110110,201.768297,5,-1.92,-13.9317,2344,Powell,222,-3.97,0.5163727959697734
16,4,4,False,0000000000000000,0.524314,1,0.0,0.0,6,CG,222,-3.97,1.0
16,4,4,False,1111111100000000,16.723113,2,2.15,-2.1613,199,CG,222,-3.97,1.5415617128463475
16,4,4,False,1111000010100000,35.404867,3,1.11,-2.4373,412,CG,222,-3.97,1.2795969773299747
16,4,4,False,0100101110111000,35.509959,4,2.49,1.9213,411,CG,222,-3.97,1.6272040302267003
16,4,4,False,1110011110111010,86.44827,5,1.46,-2.7834,999,CG,222,-3.97,1.3677581863979849
16,4,4,False,0000000000000000,0.589061,1,0.0,0.0,6,BFGS,222,-3.97,1.0
16,4,4,False,1111111100000000,30.683123,2,2.15,-2.7779,362,BFGS,222,-3.97,1.5415617128463475
16,4,4,False,1111000010100000,58.500314,3,1.11,-2.5022,678,BFGS,222,-3.97,1.2795969773299747
16,4,4,False,0100101110111000,31.717183,4,2.49,2.0734,369,BFGS,222,-3.97,1.6272040302267003
16,4,4,False,1110011110111000,43.91616,5,1.29,-2.8296,506,BFGS,222,-3.97,1.3249370277078085
16,4,4,False,0000000000000000,0.519136,1,0.0,0.0,6,L-BFGS-B,222,-3.97,1.0
16,4,4,True,1111111100000000,15.864082,2,2.15,-1.4617,187,L-BFGS-B,222,-3.97,1.5415617128463475
16,4,4,False,1111000010100000,28.964595,3,1.11,-2.242,336,L-BFGS-B,222,-3.97,1.2795969773299747
16,4,4,True,0100101110111000,56.069379,4,2.49,2.9037,651,L-BFGS-B,222,-3.97,1.6272040302267003
16,4,4,True,1110011110111000,47.519973,5,1.29,-2.6163,546,L-BFGS-B,222,-3.97,1.3249370277078085
16,4,4,False,0000000000000000,0.513063,1,0.0,0.0,6,SLSQP,222,-3.97,1.0
16,4,4,True,1111100010001111,5.481775,2,1.66,-0.5113,64,SLSQP,222,-3.97,1.4181360201511335
16,4,4,True,0000000011111010,172.050236,3,1.3,2.4082,2021,SLSQP,222,-3.97,1.327455919395466
16,4,4,True,1111000000000001,88.616817,4,0.24,-5.9534,1028,SLSQP,222,-3.97,1.0604534005037782
16,4,4,True,1100011101000110,81.083442,5,5.29,1.0818,931,SLSQP,222,-3.97,2.3324937027707806
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,4.391091,1,0.0,0.0,43,COBYLA,222,-6.13,1.0
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,8.866564,2,0.0,0.0,85,COBYLA,222,-6.13,1.0
64,8,8,True,1111111111111111111111111111111111111111111111111111111111111111,31.649986,3,0.0,-102.5943,298,COBYLA,222,-6.13,1.0
64,8,8,True,1111110111011100111100001111000011111100100100001111111111111111,31.767223,4,10.42,-33.4943,301,COBYLA,222,-6.13,2.699836867862969
64,8,8,True,0110100111111000010110100111100111111111111111110011111110000111,40.166636,5,12.2,-46.1672,375,COBYLA,222,-6.13,2.99021207177814
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.292493,1,0.0,0.0,22,Powell,222,-6.13,1.0
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,4.510286,2,0.0,0.0,43,Powell,222,-6.13,1.0
64,8,8,True,1111111111111111111111111111111111111111110111111000110011101111,59.9668,3,6.73,-79.4183,576,Powell,222,-6.13,2.097879282218597
64,8,8,True,1100110111011000110011110011111101111111011100111111111111111111,204.980428,4,6.01,-47.2054,1931,Powell,222,-6.13,1.9804241435562808
64,8,8,True,1111111011111111111111111111111111111111111111111111111111111111,454.8507,5,-0.55,-95.8206,4251,Powell,222,-6.13,0.9102773246329527
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.816249,1,0.0,0.0,8,CG,222,-6.13,1.0
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.633215,2,0.0,0.0,15,CG,222,-6.13,1.0
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.283176,3,0.0,0.0,22,CG,222,-6.13,1.0
64,8,8,False,0110010110101101011100001100000000000001000000000000000000010000,82.343847,4,16.33,10.639,792,CG,222,-6.13,3.66394779771615
64,8,8,False,0010001000000010001011000010100011111110011111110111111101101010,88.258131,5,17.4,-19.9998,835,CG,222,-6.13,3.8384991843393146
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.833219,1,0.0,0.0,8,BFGS,222,-6.13,1.0
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.60077,2,0.0,0.0,15,BFGS,222,-6.13,1.0
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.268478,3,0.0,0.0,22,BFGS,222,-6.13,1.0
64,8,8,False,0000010110111101011100001100000000000001000000000000000000010000,115.49997,4,13.43,10.9912,1115,BFGS,222,-6.13,3.190864600326264
64,8,8,False,0010001000000010001011000010000011111110011111110111111101101010,115.147733,5,16.74,-20.1265,1092,BFGS,222,-6.13,3.730831973898858
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.833136,1,0.0,0.0,8,L-BFGS-B,222,-6.13,1.0
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.615112,2,0.0,0.0,15,L-BFGS-B,222,-6.13,1.0
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.299289,3,0.0,0.0,22,L-BFGS-B,222,-6.13,1.0
64,8,8,False,0010010111101101011100001000000000000001000000000000000000010000,63.246471,4,15.07,12.2713,609,L-BFGS-B,222,-6.13,3.4584013050570963
64,8,8,False,0010001000000010001011000010000011111100011111110111111101101010,79.888341,5,16.44,100000.0,756,L-BFGS-B,222,-6.13,3.68189233278956
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.832691,1,0.0,0.0,8,SLSQP,222,-6.13,1.0
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.581826,2,0.0,0.0,15,SLSQP,222,-6.13,1.0
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.284564,3,0.0,0.0,22,SLSQP,222,-6.13,1.0
64,8,8,True,1101110001010111111111111111100111111111010011111101111110101111,50.847407,4,16.89,-30.7609,487,SLSQP,222,-6.13,3.755301794453507
64,8,8,True,1011000101110110110000011110000011100111001011110100001101000101,65.622247,5,20.31,-3.7698,622,SLSQP,222,-6.13,4.31321370309951
4,2,2,True,0000,2.230115,1,0.0,0.0053,34,COBYLA,333,-1.16,1.0
4,2,2,True,1101,4.617721,2,-0.66,-2.1927,69,COBYLA,333,-1.16,0.4310344827586206
4,2,2,True,1100,8.630666,3,-1.16,-3.1196,111,COBYLA,333,-1.16,0.0
4,2,2,True,1100,9.53873,4,-1.16,-3.1134,139,COBYLA,333,-1.16,0.0
4,2,2,True,1100,13.640651,5,-1.16,-3.1063,201,COBYLA,333,-1.16,0.0
4,2,2,True,1111,15.900158,1,0.0,-0.3202,244,Powell,333,-1.16,1.0
4,2,2,True,1100,17.143325,2,-1.16,-3.1198,258,Powell,333,-1.16,0.0
4,2,2,True,1100,36.003175,3,-1.16,-3.119,500,Powell,333,-1.16,0.0
4,2,2,True,1100,55.017336,4,-1.16,-3.12,814,Powell,333,-1.16,0.0
4,2,2,True,1100,111.698304,5,-1.16,-3.1188,1644,Powell,333,-1.16,0.0
4,2,2,False,0000,6.480659,1,0.0,0.0046,103,CG,333,-1.16,1.0
4,2,2,False,0111,12.331762,2,-0.05,-0.1758,186,CG,333,-1.16,0.9568965517241379
4,2,2,False,1011,18.000052,3,0.85,0.3039,250,CG,333,-1.16,1.732758620689655
4,2,2,False,1100,24.583535,4,-1.16,-1.0063,363,CG,333,-1.16,0.0
4,2,2,False,1000,27.816589,5,-0.05,0.7941,410,CG,333,-1.16,0.9568965517241379
4,2,2,False,0000,6.273896,1,0.0,0.0047,98,BFGS,333,-1.16,1.0
4,2,2,False,0111,10.050241,2,-0.05,-0.1638,151,BFGS,333,-1.16,0.9568965517241379
4,2,2,False,1011,19.450196,3,0.85,0.2923,252,BFGS,333,-1.16,1.732758620689655
4,2,2,False,1100,27.650709,4,-1.16,-1.0126,407,BFGS,333,-1.16,0.0
4,2,2,False,1000,26.914252,5,-0.05,0.7925,395,BFGS,333,-1.16,0.9568965517241379
4,2,2,True,0000,2.86657,1,0.0,0.0054,44,L-BFGS-B,333,-1.16,1.0
4,2,2,True,0111,14.416678,2,-0.05,-0.1449,217,L-BFGS-B,333,-1.16,0.9568965517241379
4,2,2,True,1011,17.599909,3,0.85,0.3179,230,L-BFGS-B,333,-1.16,1.732758620689655
4,2,2,True,1100,20.23377,4,-1.16,-0.9985,299,L-BFGS-B,333,-1.16,0.0
4,2,2,True,1000,27.066841,5,-0.05,0.8152,400,L-BFGS-B,333,-1.16,0.9568965517241379
4,2,2,True,1111,7.583214,1,0.0,100000.0,116,SLSQP,333,-1.16,1.0
4,2,2,True,1111,88.800536,2,0.0,-0.0446,562,SLSQP,333,-1.16,1.0
4,2,2,True,1111,52.167876,3,0.0,-0.155,781,SLSQP,333,-1.16,1.0
4,2,2,True,1100,19.914334,4,-1.16,-1.7287,295,SLSQP,333,-1.16,0.0
4,2,2,True,0001,102.264791,5,0.24,0.2335,1509,SLSQP,333,-1.16,1.206896551724138
16,4,4,True,1111111111111111,4.889051,1,0.0,-21.6814,58,COBYLA,333,-3.57,1.0
16,4,4,True,1111111110111111,9.727172,2,-3.05,-24.8881,115,COBYLA,333,-3.57,0.14565826330532214
16,4,4,True,1111111111111111,13.019151,3,0.0,-19.0641,153,COBYLA,333,-3.57,1.0
16,4,4,True,1111111100111100,17.464279,4,1.68,-16.8617,203,COBYLA,333,-3.57,1.4705882352941178
16,4,4,True,0011111110111111,22.269606,5,-3.54,-27.762,258,COBYLA,333,-3.57,0.008403361344537761
16,4,4,False,0000000000000000,1.397254,1,0.0,0.0,16,Powell,333,-3.57,1.0
16,4,4,True,1111111110111111,92.819377,2,-3.05,-30.7597,1100,Powell,333,-3.57,0.14565826330532214
16,4,4,True,1011111111111111,150.150535,3,-0.52,-22.8259,1762,Powell,333,-3.57,0.8543417366946778
16,4,4,True,1011111110111111,222.967803,4,-3.57,-29.6294,2603,Powell,333,-3.57,0.0
16,4,4,True,1011111110111111,151.007736,5,-3.57,-29.9634,1781,Powell,333,-3.57,0.0
16,4,4,False,0000000000000000,0.517049,1,0.0,0.0,6,CG,333,-3.57,1.0
16,4,4,False,1111111100000000,23.283566,2,1.9,-3.3652,275,CG,333,-3.57,1.5322128851540617
16,4,4,False,1111000010100000,29.581996,3,5.25,2.7267,348,CG,333,-3.57,2.4705882352941178
16,4,4,False,0100101110111000,26.083206,4,4.32,-7.0583,305,CG,333,-3.57,2.2100840336134455
16,4,4,False,1110011110111010,47.950523,5,4.15,-6.461,558,CG,333,-3.57,2.162464985994398
16,4,4,False,0000000000000000,0.533466,1,0.0,0.0,6,BFGS,333,-3.57,1.0
16,4,4,False,1111111100000000,11.09141,2,1.9,-2.9887,132,BFGS,333,-3.57,1.5322128851540617
16,4,4,False,1111000010100000,25.533367,3,5.25,2.6449,300,BFGS,333,-3.57,2.4705882352941178
16,4,4,False,0100101110111000,47.60009,4,4.32,-7.1907,558,BFGS,333,-3.57,2.2100840336134455
16,4,4,False,1110011110111000,65.633787,5,3.37,-6.432,765,BFGS,333,-3.57,1.9439775910364145
16,4,4,False,0000000000000000,0.532487,1,0.0,0.0,6,L-BFGS-B,333,-3.57,1.0
